"bc_index","sample","species","gene_count","tscp_count","mread_count","bc1_well","bc2_well","bc3_well","bc1_wind","bc2_wind","bc3_wind","condition","Order","seurat_clusters","ClusterLabel"
"22_01_74__s1","sample22","hg38",8791,54446,100630,"B10","A1","G2",22,1,74,"SAG_1uM",1,NA,"filtered"
"22_02_67__s1","sample22","hg38",1979,4844,8815,"B10","A2","F7",22,2,67,"SAG_1uM",2,"1","MAF_NKX2-1"
"22_03_34__s1","sample22","hg38",3816,11018,20127,"B10","A3","C10",22,3,34,"SAG_1uM",3,"8","LHX8_NKX2-1"
"22_03_35__s1","sample22","hg38",3202,7839,14300,"B10","A3","C11",22,3,35,"SAG_1uM",4,"1","MAF_NKX2-1"
"22_03_85__s1","sample22","hg38",3529,8071,14820,"B10","A3","H1",22,3,85,"SAG_1uM",5,NA,"filtered"
"22_04_65__s1","sample22","hg38",5819,19666,36317,"B10","A4","F5",22,4,65,"SAG_1uM",6,"2","c2"
"22_05_95__s1","sample22","hg38",2758,6882,12841,"B10","A5","H11",22,5,95,"SAG_1uM",7,"1","MAF_NKX2-1"
"22_06_27__s1","sample22","hg38",6059,25238,45784,"B10","A6","C3",22,6,27,"SAG_1uM",8,NA,"filtered"
"22_06_61__s1","sample22","hg38",7430,30721,57979,"B10","A6","F1",22,6,61,"SAG_1uM",9,NA,"filtered"
"22_06_86__s1","sample22","hg38",9778,69427,129222,"B10","A6","H2",22,6,86,"SAG_1uM",10,NA,"filtered"
"22_06_93__s1","sample22","hg38",8692,55560,103853,"B10","A6","H9",22,6,93,"SAG_1uM",11,"19","c19"
"22_07_52__s1","sample22","hg38",8392,42626,78147,"B10","A7","E4",22,7,52,"SAG_1uM",12,NA,"filtered"
"22_08_42__s1","sample22","hg38",4278,11887,21776,"B10","A8","D6",22,8,42,"SAG_1uM",13,"0","c0"
"22_10_26__s1","sample22","hg38",3240,6073,11080,"B10","A10","C2",22,10,26,"SAG_1uM",14,NA,"filtered"
"22_12_04__s1","sample22","hg38",4837,12675,23047,"B10","A12","A4",22,12,4,"SAG_1uM",15,NA,"filtered"
"22_12_18__s1","sample22","hg38",2490,5857,10696,"B10","A12","B6",22,12,18,"SAG_1uM",16,"1","MAF_NKX2-1"
"22_14_26__s1","sample22","hg38",5159,17729,32445,"B10","B2","C2",22,14,26,"SAG_1uM",17,"0","c0"
"22_14_38__s1","sample22","hg38",4372,12996,24142,"B10","B2","D2",22,14,38,"SAG_1uM",18,"6","MAF_NKX2-1"
"22_15_16__s1","sample22","hg38",4630,15861,29183,"B10","B3","B4",22,15,16,"SAG_1uM",19,"8","LHX8_NKX2-1"
"22_16_53__s1","sample22","hg38",8531,39867,74917,"B10","B4","E5",22,16,53,"SAG_1uM",20,NA,"filtered"
"22_17_93__s1","sample22","hg38",5972,24652,45683,"B10","B5","H9",22,17,93,"SAG_1uM",21,"5","LHX8_NKX2-1"
"22_19_27__s1","sample22","hg38",4091,15811,28559,"B10","B7","C3",22,19,27,"SAG_1uM",22,"4","SST_NKX2-1"
"22_19_45__s1","sample22","hg38",2733,6371,11516,"B10","B7","D9",22,19,45,"SAG_1uM",23,"2","c2"
"22_20_01__s1","sample22","hg38",2864,6506,11554,"B10","B8","A1",22,20,1,"SAG_1uM",24,"0","c0"
