SummarizedRegion,Cerebellum Glioblast,Cerebellum Neuroblast,Cerebellum Neuron NT-GABA,Cerebellum Neuron NT-GLY,Cerebellum Neuron NT-VGLUT,Cerebellum Neuronal IPC,Cerebellum Radial glia,Dorsal midbrain Glioblast,Dorsal midbrain Neuroblast,Dorsal midbrain Neuron NT-GABA,Dorsal midbrain Neuron NT-VGLUT,Dorsal midbrain Radial glia,Dorsal telencephalon Glioblast,Dorsal telencephalon Neuroblast,Dorsal telencephalon Neuron NT-GABA,Dorsal telencephalon Neuron NT-VGLUT,Dorsal telencephalon Neuronal IPC,Dorsal telencephalon Oligo,Dorsal telencephalon Radial glia,Erythrocyte,Fibroblast,Hypothalamus Glioblast,Hypothalamus Neuroblast,Hypothalamus Neuron NT-GABA,Hypothalamus Neuron NT-VGLUT,Hypothalamus Neuronal IPC,Hypothalamus Radial glia,Immune,Medulla Glioblast,Medulla Neuroblast,Medulla Neuron NT-GABA,Medulla Neuron NT-GLY,Medulla Neuron NT-SER,Medulla Neuron NT-VGLUT,Medulla Neuronal IPC,Medulla Oligo,Medulla Radial glia,Neural crest,Placodes,Pons Glioblast,Pons Neuroblast,Pons Neuron NT-GABA,Pons Neuron NT-GLY,Pons Neuron NT-SER,Pons Neuron NT-VGLUT,Pons Neuronal IPC,Pons Oligo,Pons Radial glia,Thalamus Glioblast,Thalamus Neuroblast,Thalamus Neuron NT-GABA,Thalamus Neuron NT-VGLUT,Thalamus Neuronal IPC,Thalamus Radial glia,Vascular,Ventral midbrain Glioblast,Ventral midbrain Neuroblast,Ventral midbrain Neuron NT-GABA,Ventral midbrain Neuron NT-GLY,Ventral midbrain Neuron NT-VGLUT,Ventral midbrain Radial glia,Ventral telencephalon Glioblast,Ventral telencephalon Neuroblast,Ventral telencephalon Neuron NT-GABA,Ventral telencephalon Neuron NT-GLY,Ventral telencephalon Neuron NT-VGLUT,Ventral telencephalon Neuronal IPC,Ventral telencephalon Radial glia
Head,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forebrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Telencephalon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorsal telencephalon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12422068494320608,0.070918856340327,0.037558952752393696,0.287836517019197,0.1092037464058986,0.00452168797031723,0.36573955456866036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ventral telencephalon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12447773553656792,0.015411170678984131,0.34679435819948484,0.0044254687609225195,0.10636719023062984,0.137130381945378,0.26539369464803275
Diencephalon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hypothalamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16816263290057168,0.0035529198055243897,0.2683923705722071,0.19391462306993643,0.014986376021798364,0.35099107762996207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thalamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033297066712628325,0.004168866003813381,0.14071807908995917,0.16145468647326863,0.19887753013540735,0.46148377158492315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Midbrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
