SummarizedRegion,Erythrocyte,Fibroblast,Glioblast,Immune,Neural crest,Neuroblast,Neuron,Neuronal IPC,Oligo,Placodes,Radial glia,Vascular
Head,0.0,0.0,0.0,0.0,0.0,0.16774193548387098,0.1870967741935484,0.03225806451612903,0.0,0.0,0.6129032258064516,0.0
Brain,0.0,0.0,3.5015231625757206e-05,0.0,0.0,0.18949076181472274,0.29242387105057366,0.021219230365208865,7.003046325151441e-05,0.0,0.49676109107461747,0.0
Forebrain,0.0,0.0,0.08471096811125038,0.0,0.0,0.14263578132864854,0.3322756388113027,0.0909337649648148,0.0012435724084839273,0.0,0.34820027437549966,0.0
Telencephalon,0.0,0.0,0.013411328292195749,0.0,0.0,0.05764017691539449,0.2038807247824226,0.04736767013839349,0.0,0.0,0.6777000998715936,0.0
Dorsal telencephalon,0.0,0.0,0.10044272911423485,0.0,0.0,0.2231485175863974,0.28872153336197903,0.08830028850285433,0.00365615984285802,0.0,0.2957307715916764,0.0
Ventral telencephalon,0.0,0.0,0.11288010298620998,0.0,0.0,0.05986073455694474,0.4602098734127836,0.12435389806705807,0.002028516257387505,0.0,0.24066687471961615,0.0
Diencephalon,0.0,0.0,0.005898419339841934,0.0,0.0,0.11122733612273361,0.3263307763830776,0.0923698279869828,0.0,0.0,0.464173640167364,0.0
Hypothalamus,0.0,0.0,0.14692496207258723,0.0,0.0,0.11179834286381142,0.4153343447310071,0.013093709884467265,0.006185085774302719,0.0,0.3066635546738242,0.0
Thalamus,0.0,0.0,0.028426909458775924,0.0,0.0,0.12968225502368141,0.27783142502414127,0.16978893640502138,0.0002850967949602244,0.0,0.39398537729341976,0.0
Midbrain,0.0,0.0,0.037152145368291756,0.0,0.0,0.13995192511330426,0.3842125884196705,0.007555381422338939,0.0016836799525604643,0.0,0.42944427972383414,0.0
Dorsal midbrain,0.0,0.0,0.08190869810257374,0.0,0.0,0.12586887093744129,0.24185139958669924,0.0041564907007326695,0.006739620514747323,0.0,0.5394749201578057,0.0
Ventral midbrain,0.0,0.0,0.22338870431893687,0.0,0.0,0.07827242524916944,0.4503654485049834,0.015016611295681064,0.03156146179401993,0.0,0.2013953488372093,0.0
Hindbrain,0.0,0.0,0.09571379361251907,0.0,0.0,0.278152321900169,0.30190443383691745,0.029657333136492627,0.014270951232714926,0.0,0.28030116628118695,0.0
Cerebellum,0.0,0.0,0.06380880934519344,0.0,0.0,0.3150501911192084,0.38448897938770404,0.07243953845604258,0.0010788411388561426,0.0,0.1631336405529954,0.0
Pons,0.0,0.0,0.13423959218351741,0.0,0.0,0.20116332265864975,0.3935581552403982,0.030488203385399648,0.010936104394048319,0.0,0.2296146221379866,0.0
Medulla,0.0,0.0,0.1190028145045163,0.0,0.0,0.26997152768687,0.31129729022123315,0.0157988611074748,0.009384408954051578,0.0,0.27454509752585415,0.0
