condition,confidence,n_nonzero_morphogens,fidelity
virtual_00000,0.01,7,0.0
virtual_00001,0.024582671005736433,8,0.0
virtual_00002,0.01,7,0.0
virtual_00003,0.028280889872141873,8,0.0
virtual_00004,0.01,7,0.0
virtual_00005,0.11462396566072455,6,0.0
virtual_00006,0.02895304185508743,8,0.0
virtual_00007,0.012725065897566893,8,0.0
virtual_00008,0.013021236539139646,9,0.0
virtual_00009,0.01,6,0.0
virtual_00010,0.01,5,0.0
virtual_00011,0.08020671558757149,4,0.0
virtual_00012,0.01972454328439559,7,0.0
virtual_00013,0.01,7,0.0
virtual_00014,0.01,7,0.0
virtual_00015,0.09591534418340081,6,0.0
virtual_00016,0.0806634248631474,5,0.0
virtual_00017,0.014071602601972856,8,0.0
virtual_00018,0.11639114735079428,7,0.0
virtual_00019,0.10556205114572137,5,0.0
virtual_00020,0.27370467652413477,4,0.0
virtual_00021,0.017341138460943047,6,0.0
virtual_00022,0.01,5,0.0
virtual_00023,0.01,7,0.0
virtual_00024,0.06623386191319441,8,0.0
virtual_00025,0.026098126032461786,7,0.0
virtual_00026,0.01,9,0.0
virtual_00027,0.01,7,0.0
virtual_00028,0.01,7,0.0
virtual_00029,0.01,6,0.0
virtual_00030,0.024792317609438185,5,0.0
virtual_00031,0.01,7,0.0
virtual_00032,0.01,6,0.0
virtual_00033,0.01,6,0.0
virtual_00034,0.010312292205035644,7,0.0
virtual_00035,0.02012841991204517,9,0.0
virtual_00036,0.01,6,0.0
virtual_00037,0.01,6,0.0
virtual_00038,0.09888825044784114,4,0.0
virtual_00039,0.012086428290019744,7,0.0
virtual_00040,0.01,8,0.0
virtual_00041,0.031884080497253976,8,0.0
virtual_00042,0.01,6,0.0
virtual_00043,0.0479785818201084,9,0.0
virtual_00044,0.02181669823313216,7,0.0
virtual_00045,0.01,6,0.0
virtual_00046,0.01,9,0.0
virtual_00047,0.01,8,0.0
virtual_00048,0.07420555024210204,5,0.0
virtual_00049,0.01,5,0.0
virtual_00050,0.04472616636069945,7,0.0
virtual_00051,0.019939308774051593,8,0.0
virtual_00052,0.01,8,0.0
virtual_00053,0.01,9,0.0
virtual_00054,0.01,7,0.0
virtual_00055,0.013078542311375658,6,0.0
virtual_00056,0.01179673702315367,5,0.0
virtual_00057,0.02818632565506165,7,0.0
virtual_00058,0.1566703742637076,7,0.0
virtual_00059,0.02159039857945186,4,0.0
virtual_00060,0.08353489963622392,6,0.0
virtual_00061,0.01,5,0.0
virtual_00062,0.06901007209975482,4,0.0
virtual_00063,0.01,6,0.0
virtual_00064,0.01,7,0.0
virtual_00065,0.01,6,0.0
virtual_00066,0.01,8,0.0
virtual_00067,0.15379226888869604,6,0.0
virtual_00068,0.03892090175625777,7,0.0
virtual_00069,0.01,6,0.0
virtual_00070,0.012987057774308659,6,0.0
virtual_00071,0.01,8,0.0
virtual_00072,0.01,7,0.0
virtual_00073,0.13375004132886562,4,0.0
virtual_00074,0.01,7,0.0
