,Astrocyte,CP,Dorsal Telencephalic IP,Dorsal Telencephalic NPC,Dorsal Telencephalic Neuron,Glioblast,MC,NC Derivatives,Neuroepithelium,Non-telencephalic NPC,Non-telencephalic Neuron,OPC,Ventral Telencephalic NPC,Ventral Telencephalic Neuron
virtual_00000,0.2700831024930747,0.17774699907663893,0.060018467220683276,0.030009233610341638,0.030009233610341638,0.030009233610341638,0.042012927054478295,0.030009233610341638,0.18005540166204984,0.030009233610341638,0.030009233610341638,0.030009233610341638,0.030009233610341638,0.030009233610341638
virtual_00001,0.11994210938913345,0.16824458783091115,0.0705541819936079,0.03527709099680395,0.03527709099680395,0.09799191943556654,0.049387927395525534,0.03527709099680395,0.21166254598082374,0.03527709099680395,0.03527709099680395,0.03527709099680395,0.03527709099680395,0.03527709099680395
virtual_00002,0.2831558567279767,0.13794772507260405,0.06292352371732816,0.03146176185866408,0.03146176185866408,0.03146176185866408,0.04404646660212972,0.03146176185866408,0.1887705711519845,0.03146176185866408,0.03146176185866408,0.03146176185866408,0.03146176185866408,0.03146176185866408
virtual_00003,0.11994210938913345,0.16824458783091115,0.0705541819936079,0.03527709099680395,0.03527709099680395,0.09799191943556654,0.049387927395525534,0.03527709099680395,0.21166254598082374,0.03527709099680395,0.03527709099680395,0.03527709099680395,0.03527709099680395,0.03527709099680395
virtual_00004,0.1244769132562593,0.12128519753173982,0.08298460883750619,0.041492304418753095,0.041492304418753095,0.11525640116320304,0.05808922618625434,0.041492304418753095,0.16596921767501238,0.041492304418753095,0.041492304418753095,0.041492304418753095,0.041492304418753095,0.041492304418753095
virtual_00005,0.11087244930191419,0.1762587655568892,0.07391496620127612,0.03695748310063806,0.03695748310063806,0.0698085791900941,0.051740476340893286,0.03695748310063806,0.22174489860382837,0.03695748310063806,0.03695748310063806,0.03695748310063806,0.03695748310063806,0.03695748310063806
virtual_00006,0.2744563494579344,0.05135357890065301,0.07417739174538768,0.03708869587269384,0.03708869587269384,0.10302415520192733,0.051924174221771376,0.03708869587269384,0.14835478349077535,0.03708869587269384,0.03708869587269384,0.03708869587269384,0.03708869587269384,0.03708869587269384
virtual_00007,0.10760313176906228,0.20965185086583485,0.07079153405859359,0.035395767029296796,0.035395767029296796,0.06685867105533838,0.04955407384101552,0.035395767029296796,0.2123746021757808,0.035395767029296796,0.035395767029296796,0.035395767029296796,0.035395767029296796,0.035395767029296796
virtual_00008,0.23523338586100087,0.15160571645927293,0.06357659077324349,0.03178829538662174,0.03178829538662174,0.06004455795250773,0.044503613541270436,0.03178829538662174,0.19072977231973046,0.03178829538662174,0.03178829538662174,0.03178829538662174,0.03178829538662174,0.03178829538662174
virtual_00009,0.25723977636786227,0.10741880771405239,0.07349707896224637,0.03674853948112319,0.03674853948112319,0.06941390790878824,0.05144795527357246,0.03674853948112319,0.14699415792449275,0.03674853948112319,0.03674853948112319,0.03674853948112319,0.03674853948112319,0.03674853948112319
