,CHIR99021_uM,BMP4_uM,BMP7_uM,SHH_uM,SAG_uM,RA_uM,FGF8_uM,FGF2_uM,FGF4_uM,IWP2_uM,XAV939_uM,SB431542_uM,LDN193189_uM,DAPT_uM,EGF_uM,ActivinA_uM,Dorsomorphin_uM,purmorphamine_uM,cyclopamine_uM,log_harvest_day
virtual_00000,9.0,0.0019230769230769232,0.0,0.0,0.25,0.5,0.0,0.0,0.0,5.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00001,1.0,0.0007692307692307692,0.0,0.01020408163265306,1.0,0.1,0.0044444444444444444,0.0,0.0,2.5,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00002,6.0,0.0003846153846153846,0.0,0.01020408163265306,0.5,0.5,0.0,0.0,0.0,2.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00003,0.0,0.0007692307692307692,0.0,0.00510204081632653,0.05,0.1,0.0044444444444444444,0.0,0.0,2.5,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00004,1.0,0.0019230769230769232,0.0,0.00510204081632653,0.5,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00005,0.0,0.0007692307692307692,0.0,0.002551020408163265,0.5,0.0,0.0022222222222222222,0.0,0.0,2.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00006,3.0,0.0003846153846153846,0.0,0.01020408163265306,0.5,0.1,0.0044444444444444444,0.0,0.0,0.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00007,0.0,0.0019230769230769232,0.0,0.002551020408163265,0.5,0.01,0.0022222222222222222,0.0,0.0,2.5,0.0,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00008,3.0,0.0007692307692307692,0.0,0.002551020408163265,0.05,0.1,0.0022222222222222222,0.0,0.0,2.5,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00009,9.0,0.0019230769230769232,0.0,0.00510204081632653,0.5,0.0,0.0022222222222222222,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00010,3.0,0.0019230769230769232,0.0,0.002551020408163265,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00011,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0044444444444444444,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00012,1.0,0.0,0.0,0.00510204081632653,1.0,0.01,0.0044444444444444444,0.0,0.0,2.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00013,0.0,0.0019230769230769232,0.0,0.01020408163265306,0.05,0.0,0.0044444444444444444,0.0,0.0,5.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00014,1.0,0.0019230769230769232,0.0,0.01020408163265306,0.25,0.05,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00015,1.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,5.0,0.0,10.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00016,1.5,0.0,0.0,0.00510204081632653,0.0,0.1,0.0,0.0,0.0,2.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00017,3.0,0.0007692307692307692,0.0,0.00510204081632653,1.0,0.1,0.0,0.0,0.0,5.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00018,1.5,0.0003846153846153846,0.0,0.002551020408163265,1.0,0.0,0.0,0.0,0.0,2.5,0.0,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00019,0.5,0.0007692307692307692,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
