condition,n_cells,n_cell_types,dominant_region,on_target_fraction,off_target_fraction,shannon_entropy,normalized_entropy,rss_best_region,rss_score,composite_fidelity
IWP2,858,14,Dorsal telencephalon,0.9685,0.0,1.3025,0.464,Dorsal telencephalon,0.9995,0.9787
IWP2 switch CHIR,557,14,Dorsal telencephalon,0.9318,0.0,1.4016,0.4993,Dorsal telencephalon,0.9986,0.9777
FGF4,1235,14,Dorsal telencephalon,0.9377,0.0,1.5184,0.5409,Dorsal telencephalon,0.9786,0.9768
FGF8,944,14,Dorsal telencephalon,0.9735,0.0,1.3215,0.4707,Dorsal telencephalon,0.9708,0.9718
CHIR-d16-21,1670,14,Dorsal telencephalon,0.9383,0.0,1.4421,0.4549,Dorsal telencephalon,0.9989,0.9682
DAPT,903,14,Dorsal telencephalon,0.9513,0.0,1.5762,0.5254,Dorsal telencephalon,0.9317,0.9628
LDN,1236,14,Dorsal telencephalon,0.9701,0.0,1.1765,0.3711,Dorsal telencephalon,0.9957,0.9416
I/Activin/DAPT/SR11,1423,14,Dorsal telencephalon,0.7836,0.0007,1.7664,0.5317,Dorsal telencephalon,0.9764,0.9368
CHIR1.5,1154,14,Thalamus,0.6542,0.0,1.6241,0.6994,Thalamus,0.9168,0.8479
C/S/R/E/FGF2/D,492,14,Dorsal midbrain,0.5244,0.002,1.5313,0.5455,Dorsal midbrain,0.8435,0.8258
CHIR SAG FGF8,594,14,Dorsal midbrain,0.5556,0.0017,1.1178,0.4324,Dorsal midbrain,0.8375,0.8078
CHIR-d6-11,182,14,Thalamus,0.522,0.0,1.407,0.7035,Thalamus,0.8793,0.8
S/I/E/FGF2,365,14,Hypothalamus,0.4,0.0055,2.1236,0.6138,Hypothalamus,0.8415,0.7857
CHIR SAG FGF4,686,14,Dorsal midbrain,0.4621,0.0073,1.4034,0.4678,Dorsal midbrain,0.7836,0.7758
CHIR switch IWP2,852,14,Thalamus,0.4789,0.0,1.474,0.6348,Thalamus,0.7656,0.7748
CHIR-d11-16,1123,14,Thalamus,0.52,0.0,1.7743,0.7642,Thalamus,0.853,0.7631
