condition,Astrocyte,CP,Dorsal Telencephalic IP,Dorsal Telencephalic NPC,Dorsal Telencephalic Neuron,Glioblast,MC,NC Derivatives,Neuroepithelium,Non-telencephalic NPC,Non-telencephalic Neuron,OPC,Ventral Telencephalic NPC,Ventral Telencephalic Neuron
BMP4 CHIR,0.0,0.54631507775524,0.0,0.0,0.0,0.0,0.002704530087897228,0.0,0.001352265043948614,0.281947261663286,0.16768086544962812,0.0,0.0,0.0
BMP4 CHIR d11-16,0.0,0.556013179571664,0.0,0.0,0.0008237232289950577,0.0,0.0016474464579901153,0.0,0.0016474464579901153,0.2644151565074135,0.17545304777594728,0.0,0.0,0.0
BMP4 SAG,0.0,0.002232142857142857,0.0,0.004464285714285714,0.020089285714285716,0.0,0.002232142857142857,0.0,0.140625,0.3794642857142857,0.4174107142857143,0.002232142857142857,0.013392857142857142,0.017857142857142856
BMP7,0.0,0.18554006968641115,0.0,0.0,0.05226480836236934,0.0,0.0,0.0,0.0,0.24303135888501742,0.519163763066202,0.0,0.0,0.0
BMP7 CHIR,0.0,0.14536340852130325,0.0,0.0037593984962406013,0.0037593984962406013,0.0,0.0037593984962406013,0.0,0.0037593984962406013,0.4824561403508772,0.35714285714285715,0.0,0.0,0.0
BMP7 SAG,0.023809523809523808,0.0021645021645021645,0.0,0.0,0.015151515151515152,0.021645021645021644,0.010822510822510822,0.0,0.0,0.04112554112554113,0.5909090909090909,0.2943722943722944,0.0,0.0
C/L/S/FGF8,0.0,0.020179372197309416,0.0,0.0014947683109118087,0.0014947683109118087,0.0,0.02914798206278027,0.0,0.026158445440956652,0.26382660687593423,0.6569506726457399,0.0,0.0,0.0007473841554559044
C/S/BMP7/D,0.004250797024442083,0.0,0.0,0.0,0.006376195536663124,0.010626992561105207,0.008501594048884165,0.003188097768331562,0.0010626992561105207,0.08607863974495218,0.8777895855472901,0.0021253985122210413,0.0,0.0
C/S/D/FGF4,0.0,0.0,0.0,0.007936507936507936,0.023809523809523808,0.0,0.0,0.0,0.0,0.07142857142857142,0.8888888888888888,0.007936507936507936,0.0,0.0
C/S/R/E/FGF2/D,0.0,0.0,0.0,0.0,0.0020325203252032522,0.0020325203252032522,0.0020325203252032522,0.0,0.12398373983739837,0.2926829268292683,0.556910569105691,0.02032520325203252,0.0,0.0
CHIR1.5,0.0,0.14038128249566725,0.0,0.00779896013864818,0.021663778162911613,0.0,0.0,0.0,0.0,0.4324090121317158,0.39774696707105717,0.0,0.0,0.0
CHIR1.5-SAG250,0.030120481927710843,0.0,0.0,0.0,0.015060240963855422,0.015060240963855422,0.030120481927710843,0.0,0.0,0.1144578313253012,0.5,0.29518072289156627,0.0,0.0
