,CHIR99021_uM,BMP4_uM,BMP7_uM,SHH_uM,SAG_uM,RA_uM,FGF8_uM,FGF2_uM,FGF4_uM,IWP2_uM,XAV939_uM,SB431542_uM,LDN193189_uM,DAPT_uM,EGF_uM,ActivinA_uM,Dorsomorphin_uM,purmorphamine_uM,cyclopamine_uM,log_harvest_day,BDNF_uM,NT3_uM,cAMP_uM,AscorbicAcid_uM
BMP4 CHIR,1.5,0.0007692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
BMP4 CHIR d11-16,0.5,0.0007692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
BMP4 SAG,0.0,0.0007692307692307692,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
BMP7,0.0,0.0,0.0015923566878980893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
BMP7 CHIR,1.5,0.0,0.0015923566878980893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
BMP7 SAG,0.0,0.0,0.0015923566878980893,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
C/L/S/FGF8,1.5,0.0,0.0,0.0,0.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
C/S/BMP7/D,1.5,0.0,0.0015923566878980893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
C/S/D/FGF4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,10.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
C/S/R/E/FGF2/D,1.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0011627906976744186,0.0,0.0,0.0,10.0,0.0,2.5,0.0032258064516129032,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
CHIR SAG FGF4,1.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
CHIR SAG FGF8,1.5,0.0,0.0,0.0,0.05,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
CHIR switch IWP2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
CHIR-SAG-LDN,1.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
CHIR-SAG-d16-21,0.5,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
CHIR-SAGd10-21,1.5,0.0,0.0,0.0,0.03666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
CHIR-d11-16,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
CHIR-d16-21,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
CHIR-d6-11,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
CHIR1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
CHIR1.5-SAG1000,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
CHIR1.5-SAG250,1.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
CHIR3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
CHIR3-SAG1000,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
CHIR3-SAG250,3.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
DAPT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
FGF-20/EGF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0032258064516129032,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
FGF2-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
FGF2-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029069767441860465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
FGF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
FGF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
I/Activin/DAPT/SR11,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.5,0.0,0.0019230769230769232,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
IWP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
IWP2 switch CHIR,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
IWP2-SAG,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
LDN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
RA10,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
RA100,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
S/I/E/FGF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011627906976744186,0.0,5.0,0.0,10.0,0.0,0.0,0.0032258064516129032,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
SAG-CHIR-d16-21,0.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
SAG-CHIRd10-21,1.0999999999999999,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
SAG-d11-16,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
SAG-d16-21,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
SAG-d6-11,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
SAG1000,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
SAG250,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.0014814814814814814,0.0014705882352941176,50.0,200.0
